task_id,tier,combination,status,duration_s,abandoned_reason,tpch_n_success,tpch_n_failed,tpch_total_ms,tpch_geo_mean_ms,tpch_cache_hit_ratio,tpch_queries_with_spill,tpcds_n_success,tpcds_n_failed,tpcds_total_ms,tpcds_geo_mean_ms,tpcds_cache_hit_ratio,tpcds_queries_with_spill,tpch_q1_ms,tpch_q2_ms,tpch_q3_ms,tpch_q4_ms,tpch_q5_ms,tpch_q6_ms,tpch_q7_ms,tpch_q8_ms,tpch_q9_ms,tpch_q10_ms,tpch_q11_ms,tpch_q12_ms,tpch_q13_ms,tpch_q14_ms,tpch_q15_ms,tpch_q16_ms,tpch_q17_ms,tpch_q18_ms,tpch_q19_ms,tpch_q20_ms,tpch_q21_ms,tpch_q22_ms,tpcds_q1_ms,tpcds_q2_ms,tpcds_q3_ms,tpcds_q4_ms,tpcds_q5_ms,tpcds_q6_ms,tpcds_q7_ms,tpcds_q8_ms,tpcds_q9_ms,tpcds_q10_ms,tpcds_q11_ms,tpcds_q12_ms,tpcds_q13_ms,tpcds_q14_ms,tpcds_q15_ms,tpcds_q16_ms,tpcds_q17_ms,tpcds_q18_ms,tpcds_q19_ms,tpcds_q20_ms,tpcds_q21_ms,tpcds_q22_ms,tpcds_q23_ms,tpcds_q24_ms,tpcds_q25_ms,tpcds_q26_ms,tpcds_q27_ms,tpcds_q28_ms,tpcds_q29_ms,tpcds_q30_ms,tpcds_q31_ms,tpcds_q32_ms,tpcds_q33_ms,tpcds_q34_ms,tpcds_q35_ms,tpcds_q36_ms,tpcds_q37_ms,tpcds_q38_ms,tpcds_q39_ms,tpcds_q40_ms,tpcds_q41_ms,tpcds_q42_ms,tpcds_q43_ms,tpcds_q44_ms,tpcds_q45_ms,tpcds_q46_ms,tpcds_q47_ms,tpcds_q48_ms,tpcds_q49_ms,tpcds_q50_ms,tpcds_q51_ms,tpcds_q52_ms,tpcds_q53_ms,tpcds_q54_ms,tpcds_q55_ms,tpcds_q56_ms,tpcds_q57_ms,tpcds_q58_ms,tpcds_q59_ms,tpcds_q60_ms,tpcds_q61_ms,tpcds_q62_ms,tpcds_q63_ms,tpcds_q64_ms,tpcds_q65_ms,tpcds_q66_ms,tpcds_q67_ms,tpcds_q68_ms,tpcds_q69_ms,tpcds_q70_ms,tpcds_q71_ms,tpcds_q72_ms,tpcds_q73_ms,tpcds_q74_ms,tpcds_q75_ms,tpcds_q76_ms,tpcds_q77_ms,tpcds_q78_ms,tpcds_q79_ms,tpcds_q80_ms,tpcds_q81_ms,tpcds_q82_ms,tpcds_q83_ms,tpcds_q84_ms,tpcds_q85_ms,tpcds_q86_ms,tpcds_q87_ms,tpcds_q88_ms,tpcds_q89_ms,tpcds_q90_ms,tpcds_q91_ms,tpcds_q92_ms,tpcds_q93_ms,tpcds_q94_ms,tpcds_q95_ms,tpcds_q96_ms,tpcds_q97_ms,tpcds_q98_ms,tpcds_q99_ms,tpch_q1_timed_out,tpch_q2_timed_out,tpch_q3_timed_out,tpch_q4_timed_out,tpch_q5_timed_out,tpch_q6_timed_out,tpch_q7_timed_out,tpch_q8_timed_out,tpch_q9_timed_out,tpch_q10_timed_out,tpch_q11_timed_out,tpch_q12_timed_out,tpch_q13_timed_out,tpch_q14_timed_out,tpch_q15_timed_out,tpch_q16_timed_out,tpch_q17_timed_out,tpch_q18_timed_out,tpch_q19_timed_out,tpch_q20_timed_out,tpch_q21_timed_out,tpch_q22_timed_out,tpcds_q1_timed_out,tpcds_q2_timed_out,tpcds_q3_timed_out,tpcds_q4_timed_out,tpcds_q5_timed_out,tpcds_q6_timed_out,tpcds_q7_timed_out,tpcds_q8_timed_out,tpcds_q9_timed_out,tpcds_q10_timed_out,tpcds_q11_timed_out,tpcds_q12_timed_out,tpcds_q13_timed_out,tpcds_q14_timed_out,tpcds_q15_timed_out,tpcds_q16_timed_out,tpcds_q17_timed_out,tpcds_q18_timed_out,tpcds_q19_timed_out,tpcds_q20_timed_out,tpcds_q21_timed_out,tpcds_q22_timed_out,tpcds_q23_timed_out,tpcds_q24_timed_out,tpcds_q25_timed_out,tpcds_q26_timed_out,tpcds_q27_timed_out,tpcds_q28_timed_out,tpcds_q29_timed_out,tpcds_q30_timed_out,tpcds_q31_timed_out,tpcds_q32_timed_out,tpcds_q33_timed_out,tpcds_q34_timed_out,tpcds_q35_timed_out,tpcds_q36_timed_out,tpcds_q37_timed_out,tpcds_q38_timed_out,tpcds_q39_timed_out,tpcds_q40_timed_out,tpcds_q41_timed_out,tpcds_q42_timed_out,tpcds_q43_timed_out,tpcds_q44_timed_out,tpcds_q45_timed_out,tpcds_q46_timed_out,tpcds_q47_timed_out,tpcds_q48_timed_out,tpcds_q49_timed_out,tpcds_q50_timed_out,tpcds_q51_timed_out,tpcds_q52_timed_out,tpcds_q53_timed_out,tpcds_q54_timed_out,tpcds_q55_timed_out,tpcds_q56_timed_out,tpcds_q57_timed_out,tpcds_q58_timed_out,tpcds_q59_timed_out,tpcds_q60_timed_out,tpcds_q61_timed_out,tpcds_q62_timed_out,tpcds_q63_timed_out,tpcds_q64_timed_out,tpcds_q65_timed_out,tpcds_q66_timed_out,tpcds_q67_timed_out,tpcds_q68_timed_out,tpcds_q69_timed_out,tpcds_q70_timed_out,tpcds_q71_timed_out,tpcds_q72_timed_out,tpcds_q73_timed_out,tpcds_q74_timed_out,tpcds_q75_timed_out,tpcds_q76_timed_out,tpcds_q77_timed_out,tpcds_q78_timed_out,tpcds_q79_timed_out,tpcds_q80_timed_out,tpcds_q81_timed_out,tpcds_q82_timed_out,tpcds_q83_timed_out,tpcds_q84_timed_out,tpcds_q85_timed_out,tpcds_q86_timed_out,tpcds_q87_timed_out,tpcds_q88_timed_out,tpcds_q89_timed_out,tpcds_q90_timed_out,tpcds_q91_timed_out,tpcds_q92_timed_out,tpcds_q93_timed_out,tpcds_q94_timed_out,tpcds_q95_timed_out,tpcds_q96_timed_out,tpcds_q97_timed_out,tpcds_q98_timed_out,tpcds_q99_timed_out,cfg_jit,cfg_seq_page_cost,cfg_random_page_cost,cfg_default_statistics_target,cfg_max_parallel_workers,cfg_max_parallel_workers_per_gather,cfg_max_worker_processes,cfg_shared_buffers,cfg_effective_cache_size,cfg_work_mem,cfg_enable_hashagg,cfg_enable_bitmapscan,cfg_enable_nestloop,cfg_enable_parallel_hash,cfg_enable_sort,cfg_synchronous_commit,cfg_cpu_tuple_cost,cfg_cpu_index_tuple_cost,cfg_cpu_operator_cost,cfg_parallel_setup_cost,cfg_parallel_tuple_cost,cfg_min_parallel_table_scan_size,cfg_min_parallel_index_scan_size,cfg_join_collapse_limit,cfg_from_collapse_limit,cfg_hash_mem_multiplier,cfg_enable_mergejoin,cfg_enable_hashjoin,cfg_enable_memoize,cfg_enable_gathermerge,cfg_enable_incremental_sort,cfg_enable_material,cfg_enable_indexscan,cfg_enable_indexonlyscan,cfg_enable_parallel_append,cfg_parallel_leader_participation,vcpus,memory_mb,sf
224,high,s1,done,3234.218,,20,0,127332.25,4229.938,20.86,7,96,2,3055605.612,3412.331,81.3,19,21663.607,12598.855,6328.387,3449.825,6248.909,1020.288,5669.01,3613.957,7394.543,3342.237,1093.836,4758.171,2964.556,1404.93,3848.911,1411.546,,18625.56,3369.995,,13591.691,1739.844,900000.0,4967.881,1645.656,56601.548,4842.361,512513.317,2428.236,281.629,9085.891,4070.12,42035.208,445.277,2293.209,20760.845,1632.357,3298.904,2931.799,2080.01,1069.454,1344.124,2713.425,478.382,23218.969,1287.079,2898.063,1138.838,3587.184,7150.65,2161.547,185053.386,14957.312,738.111,5796.87,906.291,5106.533,3573.465,3005.047,8081.981,12137.096,1175.781,5972.293,1267.897,1788.712,4332.993,978.322,1527.639,26247.142,2140.614,8119.63,1613.687,15652.133,884.973,742.841,2165.103,820.529,2819.527,11854.598,5312.545,6497.983,3263.421,838.298,1016.463,926.469,4410.47,5280.478,1313.886,13765.27,1144.444,2543.995,4780.514,7708.494,17267.226,892.526,43493.414,7845.355,2611.401,4408.014,6452.989,1285.15,4440.856,900000.0,3252.474,343.288,203.623,939.903,772.251,14661.785,8452.221,1275.638,2371.278,221.678,838.503,2059.941,1209.45,,670.671,3788.209,956.0,1478.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1.0,1.0,1.123,139.0,3.0,2.0,16.0,1024.0,3072.0,64.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
225,high,s1,done,10147.098,,19,1,1065764.441,7295.391,60.73,6,89,9,9035602.307,4275.97,82.22,20,31648.925,1243.017,10059.029,4861.299,6930.241,4426.336,6759.441,4422.047,19282.648,900000.0,2180.403,3518.189,14056.125,3363.124,6031.365,2003.648,,26585.014,3491.646,,9860.226,1485.374,900000.0,8060.036,778.398,900000.0,4386.93,900000.0,3233.512,1006.514,6714.231,12028.617,900000.0,622.644,2127.736,130949.482,2119.587,95289.309,51436.797,3433.012,549.124,1333.827,726.532,542.831,900000.0,1534.746,20586.27,2405.064,4240.208,4687.409,14666.308,168298.832,23347.014,921.512,2144.056,1283.389,72784.379,5127.397,36.156,11944.627,5857.014,1002.204,6527.232,503.997,3328.217,21340.199,1174.462,900000.0,10074.994,2417.583,3688.964,2644.227,21549.251,327.826,36.418,95.09,181.176,4073.98,7384.515,4420.207,10691.762,16016.002,1600.337,758.368,42.993,510.518,17115.594,1517.481,9791.898,900000.0,4051.27,3200.707,2071.631,4515.79,1104.559,900000.0,9131.533,1950.33,8718.628,161.788,1480.419,2682.326,900000.0,45.67,442.732,170.613,1199.203,4468.513,16614.672,7217.642,956.936,1476.947,192.296,748.409,1354.267,1630.706,,1169.209,24974.98,1459.05,2624.969,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,1.0,2.738,185.0,4.0,2.0,16.0,1408.0,4096.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
226,high,s1,done,6016.597,,20,0,150456.63,5165.854,45.51,1,94,4,5821558.584,4871.349,85.36,3,14715.402,1266.092,6246.865,2351.499,7865.12,4515.384,7137.196,5967.205,11214.111,5115.143,986.619,4059.85,6544.164,3173.845,7713.167,2320.233,,40505.357,4134.365,,6671.958,4637.025,900000.0,3332.29,1345.413,436620.811,5627.262,900000.0,4525.6,168.759,7675.302,12432.813,900000.0,463.97,1644.917,168079.605,2957.73,55224.069,91334.909,5337.004,614.35,24048.798,997.567,794.057,22346.904,2134.61,35429.524,5822.228,10466.392,6856.384,19281.926,470209.601,49985.369,1115.221,5035.856,1018.002,8076.698,2403.948,28.876,10003.215,11282.418,4487.506,45098.879,825.774,2092.379,13480.848,1114.966,2602.602,14742.327,3616.597,1434.066,7802.966,24329.373,1905.431,52.471,66.984,524.731,12125.817,33955.496,6100.004,4333.399,26288.345,2509.936,1561.899,95.617,109.328,7795.284,1945.192,9692.411,2048.678,31436.141,5206.738,2980.442,23507.99,2328.09,297056.765,23350.014,5090.853,7993.228,15468.818,2417.414,15822.258,900000.0,167.634,562.367,184.999,1346.018,1344.23,19463.14,10630.458,1053.489,861.223,241.089,780.864,1675.643,1449.237,,1081.74,5651.077,5587.168,3312.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1.0,1.0,1.606,309.0,1.0,1.0,16.0,1280.0,4096.0,256.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
227,high,s1,done,3877.908,,20,0,153353.351,4119.335,37.98,6,96,2,3672390.745,2778.1,23.34,16,48655.852,21951.357,4541.986,4258.505,3796.635,1452.371,3235.667,2797.398,5078.516,2466.168,1493.605,3786.132,4749.81,2483.579,2863.488,1135.697,,21389.429,2211.486,,10200.157,1464.384,900000.0,3472.282,1553.166,23728.295,4409.719,900000.0,1049.301,194.476,9062.273,3999.146,24250.197,222.621,1924.727,19183.757,1309.909,2089.717,1193.019,1028.677,1227.587,350.856,2924.82,1044.86,23696.274,1393.322,2581.505,1114.722,1007.49,7110.12,1606.726,650219.132,33246.901,1111.166,2150.288,853.934,4146.873,8060.079,2838.396,5754.934,31250.524,1455.223,5734.196,2481.427,1196.496,2785.076,966.303,1290.667,12954.625,1710.499,3363.715,1380.274,9085.431,667.305,646.835,272.54,849.929,2426.061,7495.07,1873.404,3161.826,2777.959,718.407,442.428,871.374,2352.585,5520.518,1215.39,17490.639,1767.52,1681.304,3983.865,2913.519,11809.881,2681.785,15235.273,5818.047,1388.821,2172.446,13908.827,2367.938,2562.194,780446.336,4068.747,238.65,257.917,981.501,617.217,4119.358,9244.949,838.661,900.887,241.22,464.891,2131.065,682.972,,813.468,5748.256,720.375,1473.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,1.0,1.468,270.0,2.0,2.0,16.0,1024.0,4096.0,32.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
228,high,s1,done,4638.213,,20,0,920389.74,8891.842,46.9,7,96,2,3662223.297,5437.071,51.56,21,113417.545,20217.64,20943.521,15234.225,4029.774,1062.019,5861.8,5540.819,13480.727,4151.299,643743.047,5538.489,5255.693,2375.449,4894.984,3149.47,,18173.543,2013.202,,25686.393,2600.997,900000.0,7320.026,1895.399,42165.064,5029.603,900000.0,1615.154,658.111,6214.447,3900.744,74000.441,1126.738,1708.138,19212.204,3671.298,15985.525,9479.155,2343.14,2201.326,2289.225,3015.192,1459.724,46688.526,2189.989,2756.912,999.069,2677.917,6450.505,7064.982,134357.382,21517.625,447.38,2971.324,1629.837,45111.696,5782.661,3368.588,7926.405,6062.432,1735.331,32588.709,1312.159,2225.573,22974.551,3627.002,2771.734,16917.319,1691.078,88942.516,2436.5,42640.314,1181.211,1203.55,1736.107,1164.28,3710.854,10737.563,4408.388,9290.026,4232.651,1146.904,3803.292,2527.353,15920.574,5085.042,2093.131,12592.463,2733.213,3292.568,11072.133,5851.649,10084.107,1314.926,35396.571,10424.357,2971.535,5792.914,564.122,1750.37,5003.031,612782.049,3768.361,6538.267,4666.74,2670.367,1395.595,12017.755,8952.366,1658.768,1059.215,1077.634,4487.429,3246.115,7489.294,,1604.261,265785.905,4002.191,2316.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1.0,1.0,3.782,301.0,5.0,3.0,16.0,1280.0,4096.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
229,high,s1,done,5852.492,,20,0,95773.302,3327.297,37.51,5,95,3,5709228.907,3618.684,83.32,20,19736.034,1188.438,3900.416,1665.095,5069.124,1233.668,5011.093,2703.364,6086.819,4158.12,1325.107,3586.513,3855.895,2008.728,4304.57,1486.03,,15095.77,2264.139,,6232.431,1688.291,900000.0,5160.717,871.968,652996.888,4392.02,900000.0,8067.349,196.767,8948.732,13183.563,652985.766,355.945,1275.202,100335.291,989.87,56454.008,13283.28,2940.661,1048.479,443.599,2884.848,793.183,82129.32,1611.314,10141.411,5234.626,18200.941,7095.538,9078.157,492828.553,16418.995,1145.099,5881.854,933.379,6583.039,3543.596,28.612,10338.276,7274.243,1399.479,6568.76,5030.202,2548.624,4077.267,644.086,1365.347,18198.998,2480.337,1494.054,3197.998,8540.74,378.297,46.496,30.564,244.783,12687.341,9392.757,4586.319,6496.654,27473.701,1519.549,891.532,44.698,103.691,6188.233,1354.184,7055.47,842.071,5140.592,32788.358,1690.04,5892.067,827.927,460972.156,26852.099,3831.733,3326.429,16987.372,2051.796,2900.598,900000.0,45.28,1239.588,115.001,608.062,3659.411,22901.757,46012.381,590.058,1025.364,293.814,438.521,1329.238,1461.256,,809.169,5673.691,1207.585,2429.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,1.0,3.845,267.0,2.0,2.0,16.0,1024.0,3072.0,64.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
230,high,s1,done,3197.442,,20,0,204294.362,4418.676,32.91,6,96,2,2945738.03,2721.29,81.31,14,32396.827,62722.084,4650.199,4267.598,3957.041,1406.657,3438.202,2975.94,5519.222,2743.98,674.911,3208.002,4931.024,2829.14,3835.215,2080.86,,45171.323,1709.271,,11488.788,1082.528,900000.0,3795.173,1522.05,23468.127,4247.194,527153.371,1215.619,158.04,7878.992,4475.16,24580.057,553.475,4287.073,28248.257,1622.704,2981.931,2264.175,1967.191,1079.642,1196.054,3128.254,394.17,18966.452,2083.755,2981.909,1097.153,1052.171,5260.275,1438.838,170792.611,10427.598,558.273,2049.624,1800.353,5129.112,2539.644,2921.057,5727.028,12948.556,609.251,6499.049,1117.598,1375.148,3052.198,1083.417,1474.513,16336.587,3606.717,3978.906,3299.943,9246.399,810.926,716.552,34.24,691.958,4955.649,5400.919,1593.741,6478.662,1605.253,784.548,601.946,711.594,2994.242,5336.485,1419.939,11199.252,2552.276,2286.844,2717.097,4054.181,10894.141,1081.253,62705.564,4774.327,1280.783,1899.381,14675.616,2021.563,2071.852,900000.0,3899.489,654.12,207.377,1324.692,629.263,3742.776,5412.605,742.869,674.693,215.657,408.923,1560.119,595.024,,821.508,4234.136,662.11,1275.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,1.0,2.07,399.0,4.0,2.0,16.0,1024.0,3072.0,64.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
231,high,s1,done,6424.369,,20,0,108556.953,3521.107,40.19,6,94,4,6271155.726,3889.494,86.0,22,16746.38,1105.62,4587.393,1556.217,6416.99,1140.304,6390.797,4292.119,8385.214,3592.663,1239.147,3278.782,4827.383,3195.224,2658.302,1481.099,,24809.735,2071.663,,6595.249,1283.815,900000.0,6856.055,748.868,900000.0,3757.731,900000.0,4833.873,383.167,12669.839,13371.573,604468.754,338.095,1470.028,232408.721,2504.911,127102.868,80011.221,4340.386,660.764,1306.805,3078.602,555.816,40795.217,1395.262,28649.073,4738.027,4366.784,11673.99,12551.432,381918.104,27804.049,849.379,3741.388,1725.638,6439.856,4324.797,28.363,8460.201,6534.355,2030.363,6211.938,3630.219,2821.073,4618.046,856.638,1724.086,12494.612,2594.727,1056.902,3121.706,6345.626,563.446,59.69,177.199,365.792,7778.524,6832.894,16907.756,4442.869,19781.244,2294.023,1424.408,43.643,96.686,6241.024,1474.426,18250.257,1844.006,5229.879,4866.038,3039.993,7627.827,1306.382,900000.0,12427.798,5964.348,4613.044,9359.727,1436.607,4801.825,762700.412,75.297,468.591,123.567,963.287,1278.207,18534.82,9274.603,551.084,1070.856,172.787,408.206,1249.196,4180.261,,862.636,4871.419,992.487,2371.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1.0,1.0,2.654,244.0,3.0,2.0,16.0,1280.0,2560.0,32.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
232,high,s1,done,3381.307,,20,0,113388.061,4016.49,20.89,6,97,1,3217601.554,3771.878,81.62,21,11872.332,12785.433,4381.852,3759.56,3996.535,1297.238,3005.513,4893.346,6221.737,4171.723,964.594,2916.662,4763.02,2670.325,5789.4,2129.962,,22203.022,1812.889,,8997.021,1509.625,900000.0,7261.926,1692.534,40815.735,10026.338,815063.296,2518.857,230.082,14104.402,4350.335,34539.07,431.559,3073.927,16410.631,1425.653,3829.997,3130.84,1863.671,1048.387,1306.044,3009.687,478.604,51932.832,1551.541,3845.666,1700.808,1107.806,6053.04,2771.663,166823.839,9424.462,1083.494,6842.066,932.814,14069.601,14746.539,5197.175,11654.7,14079.87,1012.948,6009.224,1014.582,2013.661,6116.094,422.585,1612.083,11532.574,2187.533,7305.354,1631.926,6234.821,992.823,1035.995,1039.022,965.989,12432.075,6383.696,3780.485,3512.944,6509.432,1095.902,950.754,781.707,16150.318,6561.071,1133.966,7751.094,1139.128,2462.19,4383.07,2606.25,9368.848,2247.676,76416.506,9345.877,7040.961,5277.353,10298.0,1611.003,14718.098,709014.78,3910.161,308.809,292.009,1478.813,859.308,13714.356,8823.625,931.384,2449.795,276.923,877.681,2617.126,1701.641,,954.162,3935.066,1797.502,1862.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1.0,1.0,2.47,129.0,3.0,2.0,16.0,1024.0,3072.0,32.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
233,high,s1,done,6552.184,,20,0,203690.954,6268.35,45.58,2,93,5,6289007.947,3732.673,84.56,6,46195.558,1111.568,5736.082,6828.68,8604.411,5321.936,7339.617,5316.145,19073.303,6025.736,907.679,4841.496,5267.693,3930.008,8162.039,2321.143,,42875.287,4462.694,,7337.526,8776.041,900000.0,4003.337,1241.874,900000.0,5351.375,900000.0,4891.711,145.215,8305.511,39976.899,900000.0,286.42,1635.365,123675.434,2910.355,131036.665,50649.619,4825.971,771.875,1148.392,3495.646,771.012,32229.209,2477.781,20629.327,2854.845,4184.916,10241.787,15207.867,186737.889,60408.646,1013.767,2845.132,1210.372,7395.26,2647.001,34.671,8544.585,14053.728,1887.472,6477.155,2575.403,2137.334,3593.648,977.447,3136.533,8855.452,4381.541,1483.313,5498.776,29017.12,383.086,50.032,39.027,327.649,6336.342,5907.376,4160.73,4918.871,17983.088,2258.701,1125.629,83.906,357.587,5724.884,2460.742,11900.734,1737.096,2640.102,14480.297,2858.176,6075.67,1523.899,900000.0,10302.347,2389.963,4527.178,304.152,1617.517,3445.146,792412.747,58.468,664.744,433.78,876.245,1745.004,7445.184,9400.454,675.526,1070.787,190.982,307.756,1552.911,1539.794,,1057.44,6897.827,1175.126,1998.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0,1.0,2.156,377.0,5.0,1.0,16.0,1408.0,3072.0,128.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,6,5120,4
